table_name,column_index,label,domain,column_type
Book_11x17.pt_September2020_CTA.json.gz,3,Date,Book,date
Book_12min.com_September2020_CTA.json.gz,0,Book/name,Book,textual
Book_12min.com_September2020_CTA.json.gz,2,Language,Book,textual
Book_1carpetcleaning.co.uk_September2020_CTA.json.gz,7,Person/name,Book,textual
Book_1carpetcleaning.co.uk_September2020_CTA.json.gz,2,BookFormatType,Book,textual
Book_1carpetcleaning.co.uk_September2020_CTA.json.gz,1,Book/name,Book,textual
Book_1carpetcleaning.co.uk_September2020_CTA.json.gz,5,Language,Book,textual
Book_247creative.de_September2020_CTA.json.gz,1,Book/name,Book,textual
Book_247creative.de_September2020_CTA.json.gz,3,OfferItemCondition,Book,textual
Book_247creative.de_September2020_CTA.json.gz,5,ItemAvailability,Book,textual
Book_247creative.de_September2020_CTA.json.gz,6,price,Book,numerical
Book_24symbols.com_September2020_CTA.json.gz,4,Language,Book,textual
Book_24symbols.com_September2020_CTA.json.gz,2,BookFormatType,Book,textual
Book_4thestate.co.uk_September2020_CTA.json.gz,0,Book/name,Book,textual
Book_4thestate.co.uk_September2020_CTA.json.gz,3,BookFormatType,Book,textual
Book_5carti.ro_September2020_CTA.json.gz,0,Book/name,Book,textual
Book_5carti.ro_September2020_CTA.json.gz,5,price,Book,numerical
Book_7books.hu_September2020_CTA.json.gz,0,Book/name,Book,textual
Book_7books.hu_September2020_CTA.json.gz,5,price,Book,numerical
Book_9facts.co.uk_September2020_CTA.json.gz,8,Person/name,Book,textual
Book_9facts.co.uk_September2020_CTA.json.gz,10,Language,Book,textual
Book_9facts.co.uk_September2020_CTA.json.gz,3,BookFormatType,Book,textual
Book_9facts.co.uk_September2020_CTA.json.gz,0,Book/name,Book,textual
Book_abbeville.com_September2020_CTA.json.gz,0,Book/name,Book,textual
Book_abbeville.com_September2020_CTA.json.gz,4,price,Book,numerical
Book_abebooks.com_September2020_CTA.json.gz,3,BookFormatType,Book,textual
Book_abebooks.com_September2020_CTA.json.gz,0,Book/name,Book,textual
Book_abebooks.fr_September2020_CTA.json.gz,3,BookFormatType,Book,textual
Book_abebooks.fr_September2020_CTA.json.gz,1,Book/name,Book,textual
Book_acco.be_September2020_CTA.json.gz,0,Book/name,Book,textual
Book_acq-intl.com_September2020_CTA.json.gz,1,Book/name,Book,textual
Book_acq-intl.com_September2020_CTA.json.gz,5,BookFormatType,Book,textual
Book_adlibris.com_September2020_CTA.json.gz,0,Book/name,Book,textual
Book_afcc.com.sg_September2020_CTA.json.gz,0,Book/name,Book,textual
Book_afortressofbooks.com_September2020_CTA.json.gz,0,Book/name,Book,textual
Book_afsa.org_September2020_CTA.json.gz,0,Book/name,Book,textual
Book_afsa.org_September2020_CTA.json.gz,2,BookFormatType,Book,textual
Book_agapea.com_September2020_CTA.json.gz,0,Book/name,Book,textual
Book_agapea.com_September2020_CTA.json.gz,9,price,Book,numerical
Book_agreatread.co.uk_September2020_CTA.json.gz,0,Book/name,Book,textual
Book_agreatread.co.uk_September2020_CTA.json.gz,2,ItemAvailability,Book,textual
Book_agreatread.co.uk_September2020_CTA.json.gz,3,OfferItemCondition,Book,textual
Book_ahorraenlibros.com_September2020_CTA.json.gz,0,Book/name,Book,textual
Book_ahorraenlibros.com_September2020_CTA.json.gz,2,price,Book,textual
Book_aionianbible.org_September2020_CTA.json.gz,0,Book/name,Book,textual
Book_airadasletras.gal_September2020_CTA.json.gz,7,currency,Book,textual
Book_airadasletras.gal_September2020_CTA.json.gz,3,BookFormatType,Book,textual
Book_airmax-uk.org.uk_September2020_CTA.json.gz,6,Person/name,Book,textual
Book_airmax-uk.org.uk_September2020_CTA.json.gz,3,BookFormatType,Book,textual
Book_airmax-uk.org.uk_September2020_CTA.json.gz,5,Language,Book,textual
Book_airsassociation.org_September2020_CTA.json.gz,2,price,Book,textual
Book_airsassociation.org_September2020_CTA.json.gz,3,Review,Book,textual
Book_airserbia.com_September2020_CTA.json.gz,4,BookFormatType,Book,textual
Book_albatroz.pt_September2020_CTA.json.gz,2,Date,Book,date
Book_albertine.com_September2020_CTA.json.gz,3,BookFormatType,Book,textual
Book_albertine.com_September2020_CTA.json.gz,9,price,Book,numerical
Book_albertine.com_September2020_CTA.json.gz,10,ItemAvailability,Book,textual
Book_alcuinbooks.com_September2020_CTA.json.gz,5,price,Book,numerical
Book_alibris.co.uk_September2020_CTA.json.gz,2,Number,Book,numerical
Book_allauthor.com_September2020_CTA.json.gz,2,Date,Book,date
Book_allauthor.com_September2020_CTA.json.gz,4,Language,Book,textual
Book_allianceforlearning.co.uk_September2020_CTA.json.gz,3,BookFormatType,Book,textual
Book_allingtonbooks.com_September2020_CTA.json.gz,4,price,Book,numerical
Book_alpiedelaletralibreria.com_September2020_CTA.json.gz,4,ItemAvailability,Book,textual
Book_alpiedelaletralibreria.com_September2020_CTA.json.gz,6,price,Book,textual
Book_altaviatravelbooks.be_September2020_CTA.json.gz,4,price,Book,numerical
Book_altaviatravelbooks.be_September2020_CTA.json.gz,6,ItemAvailability,Book,textual
Book_amazonaws.com_September2020_CTA.json.gz,2,BookFormatType,Book,textual
Book_ambrallibres.com_September2020_CTA.json.gz,5,price,Book,numerical
Book_amheath.com_September2020_CTA.json.gz,1,Language,Book,textual
Book_andrea.com_September2020_CTA.json.gz,1,BookFormatType,Book,textual
Book_andrewisles.com_September2020_CTA.json.gz,4,price,Book,numerical
Book_annibuku.com_September2020_CTA.json.gz,1,BookFormatType,Book,textual
Book_anobii.com_September2020_CTA.json.gz,8,BookFormatType,Book,textual
Book_anobii.com_September2020_CTA.json.gz,6,Language,Book,textual
Book_antartica.at_September2020_CTA.json.gz,6,price,Book,numerical
Book_antartica.at_September2020_CTA.json.gz,7,currency,Book,textual
Book_antichay.com_September2020_CTA.json.gz,5,ItemAvailability,Book,textual
Book_antichay.com_September2020_CTA.json.gz,6,price,Book,numerical
Book_antiqbook.co.uk_September2020_CTA.json.gz,3,price,Book,numerical
Book_antiqbook.co.uk_September2020_CTA.json.gz,2,currency,Book,textual
Book_antiquariatbotanicum.com_September2020_CTA.json.gz,4,price,Book,numerical
Book_apogeonline.com_September2020_CTA.json.gz,4,currency,Book,textual
Book_apprimus-verlag.de_September2020_CTA.json.gz,5,price,Book,textual
Book_arab-books.com_September2020_CTA.json.gz,1,Language,Book,textual
Book_arabischesbuch.de_September2020_CTA.json.gz,11,IdentifierAT,Book,numerical
Book_arcadiapublishing.com_September2020_CTA.json.gz,2,BookFormatType,Book,textual
Book_archive.org_September2020_CTA.json.gz,3,Date,Book,date
Book_archive.org_September2020_CTA.json.gz,6,BookFormatType,Book,textual
Book_argonpress.com_September2020_CTA.json.gz,2,price,Book,textual
