table_name,table,labels,domain,domains,page_title,section_title,headers
2728231-1,"[[[[0, 0], [524139, 'Bottle Rocket']], [[1, 0], [407351, 'Rushmore']], [[2, 0], [223268, 'The Royal Tenenbaums']], [[3, 0], [2531343, 'Bomb the System']], [[4, 0], [1699256, 'Duplex']], [[5, 0], [676909, 'The Terminal']], [[6, 0], [2229894, 'Romance & Cigarettes']], [[8, 0], [8167617, '10 Items or Less']], [[9, 0], [6238106, 'The Darjeeling Limited']], [[10, 0], [26121980, ""Today's Special""]], [[11, 0], [24511133, 'Anjaana Anjaani']], [[13, 0], [30296552, 'Another Earth']]]]",[['film.film']],film,{'film'},kumar pallana,filmography,['movie']
27283867-1,"[[[[0, 0], [612068, 'Alfred Molina']], [[1, 0], [24663262, 'Corey Stoll']], [[2, 0], [1690426, 'Rachel Ticotin']], [[3, 0], [2062331, 'Alana de la Garza']], [[4, 0], [2026115, 'Terrence Howard']], [[5, 0], [1464381, 'Skeet Ulrich']], [[6, 0], [2312196, 'Regina Hall']], [[7, 0], [28282542, 'Megan Boone']]]]","[['film.actor', 'tv.tv_actor', 'people.person']]",film,"{'film', 'tv', 'people'}",law & order: la,casting and characters,['actor']
27283867-3,"[[[[0, 0], [2026115, 'Terrence Howard']], [[1, 0], [23366906, 'Hutch Dano "" Playa Vista ""']], [[3, 0], [2062331, 'Alana de la Garza']]]]","[['film.actor', 'tv.tv_actor', 'people.person']]",film,"{'film', 'tv', 'people'}",law & order: la,awards and honors,['recipient(s)']
27283877-1,"[[[[0, 0], [4567366, 'Heard It All Before']], [[1, 0], [1836187, 'Pointless Nostalgic']], [[2, 0], [4472701, 'Twentysomething']], [[3, 0], [2612640, 'Catching Tales']], [[4, 0], [24049809, 'The Pursuit']], [[5, 0], [39373719, 'Momentum']]]]",[['music.album']],music,{'music'},jamie cullum discography,studio albums,['title title']
27283877-4,"[[[[0, 0], [915566, '"" High and Dry ""']], [[4, 0], [2499522, '"" Everlasting Love ""']], [[8, 0], [24948231, '"" I\'m All Over It ""']], [[9, 0], [12368553, '"" Don\'t Stop the Music ""']]]]",[['music.composition']],music,{'music'},jamie cullum discography,singles,['title title']
2728820-2,"[[[[0, 0], [2139925, 'Chris Thile']], [[2, 0], [2614061, 'Sinéad Lohan']], [[4, 0], [951017, 'Sean Watkins , David Puckett']], [[5, 0], [928309, ""Tim O'Brien , Danny O'Keefe""]], [[6, 0], [21222213, 'Robert Burns']]]]","[['music.artist', 'music.composer', 'people.person']]",music,"{'people', 'music'}",nickel creek (album),track listing,['songwriter(s)']
27289752-3,"[[[[0, 0], [27331974, '"" Treat Them Like They Want to Be Treated ""']], [[1, 0], [27503711, '"" I\'ll Do 4 U ""']], [[2, 0], [27508639, '"" Lisa Baby ""']], [[3, 0], [27546640, '"" I\'ve Been Watching You ""']]]]",[['music.composition']],music,{'music'},father's day (album),singles,['single single']
27290151-1,"[[[[0, 0], [6479315, 'Shakira']], [[1, 0], [303892, 'Enrique Iglesias featuring Juan Luis Guerra']], [[2, 0], [1474167, 'Wisin & Yandel']], [[3, 0], [13608082, 'Jowell & Randy featuring Wisin & Yandel']], [[4, 0], [2577485, 'Anahi']], [[5, 0], [23452300, 'Chino & Nacho']], [[6, 0], [25016866, 'Espinoza Paz']], [[7, 0], [991985, 'Pitbull']], [[8, 0], [991041, 'Juanes']], [[9, 0], [5580279, 'Pedro Fernández']], [[10, 0], [319938, 'Juan Luis Guerra']], [[11, 0], [28775616, 'Prince Royce']], [[12, 0], [11617274, 'Camila']], [[13, 0], [22997657, 'Carlos Baute featuring Marta Sánchez']], [[14, 0], [1104730, 'Ivy Queen']], [[16, 0], [573149, 'Belinda featuring Pitbull']], [[18, 0], [2906702, 'Diego Torres featuring Noel Schajris']], [[19, 0], [3086726, 'Dulce María']]]]",[['music.artist']],music,{'music'},2010 premios juventud,performers,['artist (s)']
27293641-1,"[[[[0, 0], [561551, 'Voice of an Angel Released: 9 November 1998 Label: Sony Classical Formats: CD , cassette']], [[1, 0], [5548119, 'Charlotte Church Released: 15 November 1999 Label: Sony Classical Formats: CD, cassette']], [[2, 0], [5552414, 'Dream a Dream Released: 17 October 2000 Label: Sony Classical Formats: CD, cassette']], [[3, 0], [5552500, 'Enchantment Released: 9 October 2001 Label: Columbia Formats: CD, cassette']], [[4, 0], [2227887, 'Tissues and Issues Released: 11 July 2005 Label: Sony BMG Formats: CD, digital download']], [[5, 0], [28728492, 'Back to Scratch Released: 1 November 2010 Label: Dooby Records Formats: CD, digital download']]]]",[['music.album']],music,{'music'},charlotte church discography,studio albums,['album details album details']
27293641-2,"[[[[0, 0], [40212298, 'ONE Released: 6 September 2012 Label: Alligator Wine Records Formats: CD, digital download']], [[1, 0], [40212353, 'TWO Released: 4 March 2013 Label: Alligator Wine Records Formats: CD, digital download']], [[2, 0], [40212400, 'THREE Released: 19 August 2013 Label: Alligator Wine Records Formats: CD, digital download']]]]",[['music.album']],music,{'music'},charlotte church discography,extended plays,['ep details']
