label,nr_errors,total,perc. errors
OfferItemCondition,1.0,21,0.047619047619047616
Book/description,0.0,11,0.0
Recipe/name,0.0,10,0.0
Movie/name,1.0,32,0.03125
ItemList,0.0,10,0.0
Date,2.0,26,0.07692307692307693
Restaurant/name,1.0,21,0.047619047619047616
currency,1.0,31,0.03225806451612903
RestrictedDiet,0.0,11,0.0
Duration,21.0,41,0.5121951219512195
DeliveryMethod,0.0,10,0.0
Review,2.0,25,0.08
Energy,1.0,14,0.07142857142857142
ProductModel,0.0,10,0.0
ItemAvailability,0.0,28,0.0
Language,1.0,24,0.041666666666666664
priceRange,1.0,10,0.1
Recipe/description,0.0,12,0.0
weight,14.0,40,0.35
Person/name,1.0,15,0.06666666666666667
postalCode,0.0,1,0.0
Brand,0.0,11,0.0
IdentifierAT,9.0,17,0.5294117647058824
telephone,0.0,3,0.0
Boolean,1.0,8,0.125
URL,2.0,21,0.09523809523809523
paymentAccepted,0.0,3,0.0
DateTime,0.0,3,0.0
streetAddress,0.0,1,0.0
Mass,0.0,29,0.0
addressLocality,0.0,2,0.0
unitCode,8.0,13,0.6153846153846154
Rating,0.0,20,0.0
Number,3.0,20,0.15
Photograph,1.0,18,0.05555555555555555
Product/description,0.0,17,0.0
Movie/description,0.0,11,0.0
Distance,0.0,25,0.0
Time,8.0,16,0.5
price,3.0,30,0.1
BookFormatType,0.0,23,0.0
PostalAddress,0.0,1,0.0
Product/name,0.0,38,0.0
openingHours,0.0,5,0.0
Book/name,0.0,32,0.0
category,1.0,23,0.043478260869565216
DayOfWeek,0.0,6,0.0
Country,1.0,4,0.25
QuantitativeValue,8.0,11,0.7272727272727273
