label,nr_errors,total,perc. errors
Movie/name,1.0,32,0.03125
weight,17.0,40,0.425
Movie/description,0.0,11,0.0
telephone,0.0,3,0.0
Review,7.0,25,0.28
Restaurant/name,1.0,21,0.047619047619047616
Book/description,1.0,11,0.09090909090909091
ItemAvailability,4.0,28,0.14285714285714285
Date,2.0,26,0.07692307692307693
PostalAddress,1.0,1,1.0
IdentifierAT,5.0,17,0.29411764705882354
Mass,18.0,29,0.6206896551724138
postalCode,0.0,1,0.0
QuantitativeValue,8.0,11,0.7272727272727273
DeliveryMethod,1.0,10,0.1
Distance,22.0,25,0.88
URL,2.0,21,0.09523809523809523
openingHours,1.0,5,0.2
unitCode,13.0,13,1.0
Recipe/name,0.0,10,0.0
DateTime,0.0,3,0.0
Energy,13.0,14,0.9285714285714286
currency,0.0,31,0.0
paymentAccepted,0.0,3,0.0
Person/name,5.0,15,0.3333333333333333
Product/name,2.0,38,0.05263157894736842
streetAddress,1.0,1,1.0
DayOfWeek,1.0,6,0.16666666666666666
category,6.0,23,0.2608695652173913
Rating,2.0,20,0.1
Time,12.0,16,0.75
RestrictedDiet,5.0,11,0.45454545454545453
Product/description,0.0,17,0.0
priceRange,3.0,10,0.3
addressLocality,0.0,2,0.0
unitText,6.0,10,0.6
BookFormatType,1.0,23,0.043478260869565216
ProductModel,8.0,10,0.8
Country,3.0,4,0.75
ItemList,5.0,10,0.5
Language,6.0,24,0.25
price,7.0,30,0.23333333333333334
Brand,4.0,11,0.36363636363636365
Book/name,1.0,32,0.03125
OfferItemCondition,3.0,21,0.14285714285714285
Number,17.0,20,0.85
Duration,9.0,41,0.21951219512195122
Recipe/description,1.0,12,0.08333333333333333
Boolean,2.0,8,0.25
Photograph,0.0,18,0.0
