label,nr_errors,total,perc. errors
Brand,4.0,11,0.36363636363636365
priceRange,3.0,10,0.3
Rating,2.0,20,0.1
category,5.0,23,0.21739130434782608
Time,12.0,16,0.75
QuantitativeValue,2.0,11,0.18181818181818182
IdentifierAT,4.0,17,0.23529411764705882
Photograph,0.0,18,0.0
DeliveryMethod,0.0,10,0.0
Recipe/description,1.0,12,0.08333333333333333
Language,8.0,24,0.3333333333333333
weight,33.0,40,0.825
openingHours,1.0,5,0.2
Movie/name,1.0,32,0.03125
PostalAddress,1.0,1,1.0
Product/name,2.0,38,0.05263157894736842
Duration,4.0,41,0.0975609756097561
Number,18.0,20,0.9
Distance,22.0,25,0.88
Book/description,1.0,11,0.09090909090909091
Person/name,6.0,15,0.4
ItemList,10.0,10,1.0
ItemAvailability,6.0,28,0.21428571428571427
Date,2.0,26,0.07692307692307693
Recipe/name,0.0,10,0.0
Book/name,1.0,32,0.03125
streetAddress,1.0,1,1.0
URL,2.0,21,0.09523809523809523
price,8.0,30,0.26666666666666666
unitText,6.0,10,0.6
Movie/description,0.0,11,0.0
Restaurant/name,1.0,21,0.047619047619047616
postalCode,0.0,1,0.0
OfferItemCondition,10.0,21,0.47619047619047616
Product/description,0.0,17,0.0
Mass,19.0,29,0.6551724137931034
Review,7.0,25,0.28
ProductModel,9.0,10,0.9
telephone,0.0,3,0.0
RestrictedDiet,5.0,11,0.45454545454545453
Boolean,2.0,8,0.25
unitCode,13.0,13,1.0
DayOfWeek,1.0,6,0.16666666666666666
currency,0.0,31,0.0
BookFormatType,2.0,23,0.08695652173913043
Energy,10.0,14,0.7142857142857143
addressLocality,0.0,2,0.0
Country,3.0,4,0.75
paymentAccepted,0.0,3,0.0
DateTime,0.0,3,0.0
