label,nr_errors,total,perc. errors
Time,12.0,16,0.75
QuantitativeValue,7.0,11,0.6363636363636364
weight,17.0,40,0.425
Recipe/name,0.0,10,0.0
Energy,14.0,14,1.0
Date,2.0,26,0.07692307692307693
category,9.0,23,0.391304347826087
Country,3.0,4,0.75
Product/name,3.0,38,0.07894736842105263
unitText,5.0,10,0.5
Duration,5.0,41,0.12195121951219512
Review,11.0,25,0.44
Movie/name,1.0,32,0.03125
postalCode,1.0,1,1.0
Recipe/description,1.0,12,0.08333333333333333
priceRange,2.0,10,0.2
OfferItemCondition,10.0,21,0.47619047619047616
ItemList,10.0,10,1.0
Distance,24.0,25,0.96
telephone,0.0,3,0.0
PostalAddress,1.0,1,1.0
IdentifierAT,8.0,17,0.47058823529411764
Number,17.0,20,0.85
price,7.0,30,0.23333333333333334
streetAddress,1.0,1,1.0
Rating,2.0,20,0.1
Book/name,0.0,32,0.0
Book/description,0.0,11,0.0
BookFormatType,2.0,23,0.08695652173913043
openingHours,1.0,5,0.2
DayOfWeek,1.0,6,0.16666666666666666
Movie/description,0.0,11,0.0
Mass,29.0,29,1.0
Language,7.0,24,0.2916666666666667
ItemAvailability,7.0,28,0.25
Person/name,4.0,15,0.26666666666666666
Product/description,0.0,17,0.0
RestrictedDiet,4.0,11,0.36363636363636365
Brand,3.0,11,0.2727272727272727
Photograph,1.0,18,0.05555555555555555
paymentAccepted,0.0,3,0.0
unitCode,12.0,13,0.9230769230769231
addressLocality,0.0,2,0.0
DateTime,0.0,3,0.0
Restaurant/name,1.0,21,0.047619047619047616
URL,2.0,21,0.09523809523809523
currency,1.0,31,0.03225806451612903
Boolean,3.0,8,0.375
DeliveryMethod,4.0,10,0.4
ProductModel,7.0,10,0.7
