label,nr_errors,total,perc. errors
Date,2.0,26,0.07692307692307693
addressLocality,0.0,2,0.0
priceRange,2.0,10,0.2
BookFormatType,0.0,23,0.0
Recipe/description,0.0,12,0.0
Movie/name,1.0,32,0.03125
Number,13.0,20,0.65
Mass,11.0,29,0.3793103448275862
Person/name,1.0,15,0.06666666666666667
Boolean,0.0,8,0.0
Book/description,0.0,11,0.0
Energy,7.0,14,0.5
Time,10.0,16,0.625
openingHours,1.0,5,0.2
Language,3.0,24,0.125
Book/name,0.0,32,0.0
postalCode,0.0,1,0.0
currency,1.0,31,0.03225806451612903
ItemList,2.0,10,0.2
unitText,0.0,10,0.0
unitCode,6.0,13,0.46153846153846156
ItemAvailability,1.0,28,0.03571428571428571
Country,0.0,4,0.0
Distance,17.0,25,0.68
paymentAccepted,0.0,3,0.0
DeliveryMethod,0.0,10,0.0
price,3.0,30,0.1
Product/name,3.0,38,0.07894736842105263
Duration,17.0,41,0.4146341463414634
DayOfWeek,0.0,6,0.0
Recipe/name,0.0,10,0.0
Photograph,0.0,18,0.0
URL,1.0,21,0.047619047619047616
DateTime,0.0,3,0.0
streetAddress,1.0,1,1.0
telephone,1.0,3,0.3333333333333333
Product/description,0.0,17,0.0
OfferItemCondition,0.0,21,0.0
ProductModel,6.0,10,0.6
Restaurant/name,1.0,21,0.047619047619047616
category,3.0,23,0.13043478260869565
Movie/description,0.0,11,0.0
Review,3.0,25,0.12
Brand,0.0,11,0.0
QuantitativeValue,8.0,11,0.7272727272727273
weight,14.0,40,0.35
RestrictedDiet,3.0,11,0.2727272727272727
IdentifierAT,2.0,17,0.11764705882352941
PostalAddress,0.0,1,0.0
Rating,1.0,20,0.05
