label,nr_errors,total,perc. errors
Energy,4.0,14,0.2857142857142857
ProductModel,6.0,10,0.6
BookFormatType,0.0,23,0.0
IdentifierAT,2.0,17,0.11764705882352941
Review,2.0,25,0.08
currency,0.0,31,0.0
Book/name,0.0,32,0.0
Boolean,1.0,8,0.125
Restaurant/name,2.0,21,0.09523809523809523
Language,2.0,24,0.08333333333333333
Mass,10.0,29,0.3448275862068966
unitCode,10.0,13,0.7692307692307693
Product/description,1.0,17,0.058823529411764705
URL,1.0,21,0.047619047619047616
Photograph,0.0,18,0.0
PostalAddress,0.0,1,0.0
openingHours,1.0,5,0.2
QuantitativeValue,2.0,11,0.18181818181818182
Number,7.0,20,0.35
Duration,1.0,41,0.024390243902439025
category,2.0,23,0.08695652173913043
ItemList,0.0,10,0.0
Recipe/name,0.0,10,0.0
Product/name,0.0,38,0.0
Book/description,0.0,11,0.0
DayOfWeek,0.0,6,0.0
unitText,1.0,10,0.1
postalCode,0.0,1,0.0
Person/name,1.0,15,0.06666666666666667
Brand,0.0,11,0.0
ItemAvailability,0.0,28,0.0
Movie/description,0.0,11,0.0
Distance,17.0,25,0.68
Country,0.0,4,0.0
Movie/name,1.0,32,0.03125
Rating,1.0,20,0.05
DateTime,0.0,3,0.0
Date,2.0,26,0.07692307692307693
Recipe/description,0.0,12,0.0
RestrictedDiet,1.0,11,0.09090909090909091
OfferItemCondition,0.0,21,0.0
price,4.0,30,0.13333333333333333
priceRange,1.0,10,0.1
weight,13.0,40,0.325
streetAddress,1.0,1,1.0
paymentAccepted,0.0,3,0.0
DeliveryMethod,0.0,10,0.0
telephone,0.0,3,0.0
Time,10.0,16,0.625
addressLocality,0.0,2,0.0
