label,nr_errors,total,perc. errors
BookFormatType,0.0,23,0.0
Boolean,1.0,8,0.125
ItemList,6.0,10,0.6
weight,12.0,40,0.3
price,6.0,30,0.2
category,1.0,23,0.043478260869565216
ItemAvailability,4.0,28,0.14285714285714285
Product/description,3.0,17,0.17647058823529413
Movie/description,0.0,11,0.0
Product/name,4.0,38,0.10526315789473684
Review,9.0,25,0.36
QuantitativeValue,11.0,11,1.0
DateTime,0.0,3,0.0
openingHours,1.0,5,0.2
Number,8.0,20,0.4
currency,0.0,31,0.0
Recipe/description,5.0,12,0.4166666666666667
postalCode,0.0,1,0.0
Language,1.0,24,0.041666666666666664
streetAddress,0.0,1,0.0
priceRange,1.0,10,0.1
Time,4.0,16,0.25
unitCode,13.0,13,1.0
Brand,1.0,11,0.09090909090909091
Duration,18.0,41,0.43902439024390244
Movie/name,1.0,32,0.03125
OfferItemCondition,3.0,21,0.14285714285714285
unitText,0.0,10,0.0
Rating,0.0,20,0.0
Photograph,10.0,18,0.5555555555555556
DayOfWeek,1.0,6,0.16666666666666666
paymentAccepted,0.0,3,0.0
Recipe/name,0.0,10,0.0
telephone,0.0,3,0.0
DeliveryMethod,0.0,10,0.0
Energy,3.0,14,0.21428571428571427
URL,3.0,21,0.14285714285714285
Mass,5.0,29,0.1724137931034483
Book/description,0.0,11,0.0
addressLocality,0.0,2,0.0
Book/name,2.0,32,0.0625
RestrictedDiet,0.0,11,0.0
Person/name,3.0,15,0.2
Country,2.0,4,0.5
ProductModel,4.0,10,0.4
Restaurant/name,1.0,21,0.047619047619047616
Distance,3.0,25,0.12
PostalAddress,0.0,1,0.0
IdentifierAT,10.0,17,0.5882352941176471
Date,5.0,26,0.19230769230769232
