label,nr_errors,total,perc. errors
ItemList,3.0,10,0.3
Brand,1.0,11,0.09090909090909091
Book/name,2.0,32,0.0625
Restaurant/name,2.0,21,0.09523809523809523
postalCode,0.0,1,0.0
Review,7.0,25,0.28
currency,0.0,31,0.0
Movie/description,1.0,11,0.09090909090909091
Photograph,10.0,18,0.5555555555555556
Mass,3.0,29,0.10344827586206896
Country,2.0,4,0.5
weight,9.0,40,0.225
Recipe/name,0.0,10,0.0
Duration,21.0,41,0.5121951219512195
telephone,0.0,3,0.0
ItemAvailability,2.0,28,0.07142857142857142
streetAddress,0.0,1,0.0
Date,9.0,26,0.34615384615384615
Book/description,1.0,11,0.09090909090909091
Distance,2.0,25,0.08
Person/name,5.0,15,0.3333333333333333
priceRange,1.0,10,0.1
Boolean,1.0,8,0.125
BookFormatType,0.0,23,0.0
Movie/name,2.0,32,0.0625
unitText,0.0,10,0.0
Language,1.0,24,0.041666666666666664
IdentifierAT,9.0,17,0.5294117647058824
DeliveryMethod,1.0,10,0.1
addressLocality,0.0,2,0.0
DayOfWeek,2.0,6,0.3333333333333333
Energy,4.0,14,0.2857142857142857
Number,8.0,20,0.4
Product/name,4.0,38,0.10526315789473684
category,0.0,23,0.0
PostalAddress,0.0,1,0.0
Time,8.0,16,0.5
DateTime,0.0,3,0.0
Product/description,3.0,17,0.17647058823529413
QuantitativeValue,9.0,11,0.8181818181818182
RestrictedDiet,1.0,11,0.09090909090909091
Recipe/description,1.0,12,0.08333333333333333
paymentAccepted,0.0,3,0.0
OfferItemCondition,1.0,21,0.047619047619047616
URL,3.0,21,0.14285714285714285
ProductModel,3.0,10,0.3
Rating,0.0,20,0.0
unitCode,9.0,13,0.6923076923076923
openingHours,1.0,5,0.2
price,7.0,30,0.23333333333333334
