label,nr_errors,total,perc. errors
URL,4.0,21,0.19047619047619047
category,1.0,23,0.043478260869565216
Distance,3.0,25,0.12
Recipe/name,0.0,10,0.0
Duration,20.0,41,0.4878048780487805
IdentifierAT,10.0,17,0.5882352941176471
currency,2.0,31,0.06451612903225806
Time,1.0,16,0.0625
Product/name,2.0,38,0.05263157894736842
Photograph,6.0,18,0.3333333333333333
RestrictedDiet,2.0,11,0.18181818181818182
Brand,1.0,11,0.09090909090909091
unitCode,5.0,13,0.38461538461538464
Review,4.0,25,0.16
Book/description,0.0,11,0.0
BookFormatType,1.0,23,0.043478260869565216
telephone,0.0,3,0.0
Product/description,3.0,17,0.17647058823529413
DeliveryMethod,0.0,10,0.0
DayOfWeek,0.0,6,0.0
Boolean,1.0,8,0.125
unitText,0.0,10,0.0
openingHours,0.0,5,0.0
OfferItemCondition,2.0,21,0.09523809523809523
paymentAccepted,0.0,3,0.0
Movie/description,0.0,11,0.0
priceRange,2.0,10,0.2
Date,1.0,26,0.038461538461538464
QuantitativeValue,11.0,11,1.0
PostalAddress,1.0,1,1.0
Country,1.0,4,0.25
Recipe/description,1.0,12,0.08333333333333333
ItemAvailability,0.0,28,0.0
addressLocality,0.0,2,0.0
ProductModel,4.0,10,0.4
Movie/name,1.0,32,0.03125
Energy,0.0,14,0.0
Person/name,4.0,15,0.26666666666666666
Restaurant/name,1.0,21,0.047619047619047616
Mass,0.0,29,0.0
DateTime,0.0,3,0.0
price,3.0,30,0.1
postalCode,0.0,1,0.0
streetAddress,0.0,1,0.0
weight,10.0,40,0.25
Rating,0.0,20,0.0
Number,2.0,20,0.1
ItemList,2.0,10,0.2
Book/name,4.0,32,0.125
Language,0.0,24,0.0
