label,nr_errors,total,perc. errors
Energy,1.0,14,0.07142857142857142
Date,12.0,26,0.46153846153846156
DeliveryMethod,1.0,10,0.1
openingHours,1.0,5,0.2
telephone,0.0,3,0.0
ItemAvailability,4.0,28,0.14285714285714285
DayOfWeek,0.0,6,0.0
Country,2.0,4,0.5
ProductModel,3.0,10,0.3
Number,9.0,20,0.45
Recipe/name,1.0,10,0.1
URL,6.0,21,0.2857142857142857
Book/description,0.0,11,0.0
PostalAddress,0.0,1,0.0
Duration,22.0,41,0.5365853658536586
Mass,15.0,29,0.5172413793103449
paymentAccepted,1.0,3,0.3333333333333333
addressLocality,0.0,2,0.0
Language,0.0,24,0.0
Time,4.0,16,0.25
Recipe/description,2.0,12,0.16666666666666666
Photograph,10.0,18,0.5555555555555556
ItemList,3.0,10,0.3
Restaurant/name,1.0,21,0.047619047619047616
streetAddress,1.0,1,1.0
IdentifierAT,10.0,17,0.5882352941176471
Product/description,5.0,17,0.29411764705882354
Book/name,3.0,32,0.09375
Product/name,3.0,38,0.07894736842105263
currency,3.0,31,0.0967741935483871
BookFormatType,1.0,23,0.043478260869565216
priceRange,1.0,10,0.1
weight,11.0,40,0.275
Boolean,2.0,8,0.25
Rating,0.0,20,0.0
RestrictedDiet,5.0,11,0.45454545454545453
Movie/name,1.0,32,0.03125
DateTime,0.0,3,0.0
OfferItemCondition,7.0,21,0.3333333333333333
unitCode,9.0,13,0.6923076923076923
Distance,2.0,25,0.08
QuantitativeValue,10.0,11,0.9090909090909091
price,5.0,30,0.16666666666666666
Person/name,4.0,15,0.26666666666666666
Review,8.0,25,0.32
unitText,1.0,10,0.1
Brand,1.0,11,0.09090909090909091
category,0.0,23,0.0
postalCode,1.0,1,1.0
Movie/description,0.0,11,0.0
