label,nr_errors,total,perc. errors
Movie/description,0.0,11,0.0
price,4.0,30,0.13333333333333333
addressLocality,0.0,2,0.0
OfferItemCondition,2.0,21,0.09523809523809523
Mass,8.0,29,0.27586206896551724
Rating,0.0,20,0.0
DateTime,0.0,3,0.0
ItemAvailability,2.0,28,0.07142857142857142
paymentAccepted,0.0,3,0.0
Boolean,2.0,8,0.25
PostalAddress,1.0,1,1.0
Book/description,6.0,11,0.5454545454545454
Distance,7.0,25,0.28
Recipe/name,0.0,10,0.0
IdentifierAT,9.0,17,0.5294117647058824
streetAddress,0.0,1,0.0
Review,7.0,25,0.28
Recipe/description,0.0,12,0.0
Movie/name,1.0,32,0.03125
BookFormatType,6.0,23,0.2608695652173913
RestrictedDiet,3.0,11,0.2727272727272727
openingHours,0.0,5,0.0
weight,16.0,40,0.4
ItemList,3.0,10,0.3
URL,2.0,21,0.09523809523809523
QuantitativeValue,8.0,11,0.7272727272727273
unitText,1.0,10,0.1
unitCode,11.0,13,0.8461538461538461
Brand,1.0,11,0.09090909090909091
Country,0.0,4,0.0
DayOfWeek,0.0,6,0.0
ProductModel,0.0,10,0.0
currency,1.0,31,0.03225806451612903
telephone,0.0,3,0.0
Date,10.0,26,0.38461538461538464
Energy,1.0,14,0.07142857142857142
Restaurant/name,2.0,21,0.09523809523809523
DeliveryMethod,0.0,10,0.0
Duration,19.0,41,0.4634146341463415
Book/name,19.0,32,0.59375
Number,11.0,20,0.55
Time,4.0,16,0.25
Person/name,2.0,15,0.13333333333333333
postalCode,0.0,1,0.0
Language,2.0,24,0.08333333333333333
priceRange,1.0,10,0.1
Photograph,8.0,18,0.4444444444444444
category,0.0,23,0.0
Product/description,1.0,17,0.058823529411764705
Product/name,2.0,38,0.05263157894736842
