label,nr_errors,total,perc. errors
Time,9.0,16,0.5625
paymentAccepted,2.0,3,0.6666666666666666
streetAddress,1.0,1,1.0
postalCode,1.0,1,1.0
Product/description,4.0,17,0.23529411764705882
Rating,6.0,20,0.3
price,6.0,30,0.2
OfferItemCondition,7.0,21,0.3333333333333333
Recipe/name,1.0,10,0.1
category,3.0,23,0.13043478260869565
Mass,6.0,29,0.20689655172413793
DeliveryMethod,3.0,10,0.3
telephone,1.0,3,0.3333333333333333
currency,6.0,31,0.1935483870967742
Movie/description,1.0,11,0.09090909090909091
Book/description,8.0,11,0.7272727272727273
Product/name,8.0,38,0.21052631578947367
Restaurant/name,5.0,21,0.23809523809523808
DateTime,1.0,3,0.3333333333333333
ItemList,5.0,10,0.5
Person/name,7.0,15,0.4666666666666667
unitText,3.0,10,0.3
Recipe/description,6.0,12,0.5
Brand,2.0,11,0.18181818181818182
Distance,11.0,25,0.44
RestrictedDiet,5.0,11,0.45454545454545453
Photograph,6.0,18,0.3333333333333333
URL,6.0,21,0.2857142857142857
PostalAddress,0.0,1,0.0
DayOfWeek,1.0,6,0.16666666666666666
IdentifierAT,9.0,17,0.5294117647058824
Duration,27.0,41,0.6585365853658537
Language,3.0,24,0.125
Energy,7.0,14,0.5
priceRange,1.0,10,0.1
Book/name,22.0,32,0.6875
Date,12.0,26,0.46153846153846156
Country,4.0,4,1.0
Movie/name,1.0,32,0.03125
Number,12.0,20,0.6
Review,7.0,25,0.28
unitCode,9.0,13,0.6923076923076923
QuantitativeValue,9.0,11,0.8181818181818182
ProductModel,6.0,10,0.6
ItemAvailability,4.0,28,0.14285714285714285
BookFormatType,10.0,23,0.43478260869565216
Boolean,3.0,8,0.375
addressLocality,0.0,2,0.0
weight,18.0,40,0.45
openingHours,2.0,5,0.4
