label,nr_errors,total,perc. errors
ItemList,5.0,10,0.5
DeliveryMethod,1.0,10,0.1
Time,8.0,16,0.5
DayOfWeek,2.0,6,0.3333333333333333
Movie/name,6.0,32,0.1875
category,6.0,23,0.2608695652173913
Book/description,1.0,11,0.09090909090909091
Movie/description,3.0,11,0.2727272727272727
Number,9.0,20,0.45
Recipe/name,2.0,10,0.2
DateTime,0.0,3,0.0
Duration,25.0,41,0.6097560975609756
Language,1.0,24,0.041666666666666664
Distance,13.0,25,0.52
Product/name,5.0,38,0.13157894736842105
Date,8.0,26,0.3076923076923077
unitCode,9.0,13,0.6923076923076923
priceRange,1.0,10,0.1
Restaurant/name,5.0,21,0.23809523809523808
Product/description,3.0,17,0.17647058823529413
ItemAvailability,5.0,28,0.17857142857142858
Review,8.0,25,0.32
addressLocality,0.0,2,0.0
unitText,3.0,10,0.3
ProductModel,6.0,10,0.6
PostalAddress,0.0,1,0.0
Recipe/description,5.0,12,0.4166666666666667
QuantitativeValue,7.0,11,0.6363636363636364
telephone,1.0,3,0.3333333333333333
weight,15.0,40,0.375
Person/name,6.0,15,0.4
postalCode,0.0,1,0.0
Rating,2.0,20,0.1
RestrictedDiet,5.0,11,0.45454545454545453
Book/name,4.0,32,0.125
IdentifierAT,11.0,17,0.6470588235294118
OfferItemCondition,4.0,21,0.19047619047619047
Boolean,3.0,8,0.375
Photograph,3.0,18,0.16666666666666666
Brand,1.0,11,0.09090909090909091
BookFormatType,1.0,23,0.043478260869565216
streetAddress,1.0,1,1.0
URL,5.0,21,0.23809523809523808
Mass,11.0,29,0.3793103448275862
Energy,2.0,14,0.14285714285714285
openingHours,1.0,5,0.2
Country,2.0,4,0.5
currency,2.0,31,0.06451612903225806
price,6.0,30,0.2
paymentAccepted,1.0,3,0.3333333333333333
