label,nr_errors,total,perc. errors
Time,7.0,16,0.4375
category,0.0,23,0.0
Language,0.0,24,0.0
Product/name,3.0,38,0.07894736842105263
paymentAccepted,1.0,3,0.3333333333333333
Country,2.0,4,0.5
Mass,13.0,29,0.4482758620689655
telephone,1.0,3,0.3333333333333333
Number,7.0,20,0.35
postalCode,0.0,1,0.0
Recipe/name,0.0,10,0.0
openingHours,1.0,5,0.2
OfferItemCondition,5.0,21,0.23809523809523808
IdentifierAT,9.0,17,0.5294117647058824
Recipe/description,3.0,12,0.25
Movie/name,4.0,32,0.125
DateTime,0.0,3,0.0
Person/name,6.0,15,0.4
BookFormatType,0.0,23,0.0
unitCode,9.0,13,0.6923076923076923
ItemAvailability,7.0,28,0.25
PostalAddress,0.0,1,0.0
Brand,1.0,11,0.09090909090909091
addressLocality,1.0,2,0.5
weight,12.0,40,0.3
Distance,7.0,25,0.28
Photograph,7.0,18,0.3888888888888889
ItemList,3.0,10,0.3
Duration,22.0,41,0.5365853658536586
unitText,2.0,10,0.2
DayOfWeek,1.0,6,0.16666666666666666
priceRange,0.0,10,0.0
Restaurant/name,3.0,21,0.14285714285714285
currency,1.0,31,0.03225806451612903
QuantitativeValue,8.0,11,0.7272727272727273
Energy,3.0,14,0.21428571428571427
Book/name,5.0,32,0.15625
URL,2.0,21,0.09523809523809523
price,5.0,30,0.16666666666666666
Rating,2.0,20,0.1
Movie/description,2.0,11,0.18181818181818182
Book/description,0.0,11,0.0
DeliveryMethod,0.0,10,0.0
Boolean,4.0,8,0.5
Product/description,3.0,17,0.17647058823529413
Date,8.0,26,0.3076923076923077
ProductModel,6.0,10,0.6
streetAddress,1.0,1,1.0
RestrictedDiet,3.0,11,0.2727272727272727
Review,6.0,25,0.24
