label,nr_errors,total,perc. errors
Product/name,4.0,38,0.10526315789473684
addressLocality,0.0,2,0.0
weight,11.0,40,0.275
DeliveryMethod,1.0,10,0.1
BookFormatType,2.0,23,0.08695652173913043
DayOfWeek,0.0,6,0.0
PostalAddress,0.0,1,0.0
category,1.0,23,0.043478260869565216
Review,9.0,25,0.36
Book/name,4.0,32,0.125
Recipe/name,1.0,10,0.1
Movie/name,4.0,32,0.125
postalCode,0.0,1,0.0
Time,5.0,16,0.3125
RestrictedDiet,5.0,11,0.45454545454545453
currency,1.0,31,0.03225806451612903
price,6.0,30,0.2
Person/name,6.0,15,0.4
Boolean,4.0,8,0.5
openingHours,2.0,5,0.4
IdentifierAT,10.0,17,0.5882352941176471
streetAddress,1.0,1,1.0
Duration,23.0,41,0.5609756097560976
ProductModel,6.0,10,0.6
OfferItemCondition,3.0,21,0.14285714285714285
unitCode,9.0,13,0.6923076923076923
Number,4.0,20,0.2
Restaurant/name,3.0,21,0.14285714285714285
paymentAccepted,0.0,3,0.0
Distance,6.0,25,0.24
Country,2.0,4,0.5
Rating,2.0,20,0.1
Mass,5.0,29,0.1724137931034483
Movie/description,1.0,11,0.09090909090909091
priceRange,0.0,10,0.0
Energy,4.0,14,0.2857142857142857
Date,9.0,26,0.34615384615384615
Book/description,0.0,11,0.0
Recipe/description,2.0,12,0.16666666666666666
unitText,2.0,10,0.2
DateTime,0.0,3,0.0
ItemList,4.0,10,0.4
Photograph,7.0,18,0.3888888888888889
QuantitativeValue,9.0,11,0.8181818181818182
ItemAvailability,5.0,28,0.17857142857142858
Product/description,3.0,17,0.17647058823529413
Brand,1.0,11,0.09090909090909091
Language,1.0,24,0.041666666666666664
URL,3.0,21,0.14285714285714285
telephone,1.0,3,0.3333333333333333
