label,nr_errors,total,perc. errors
Movie/description,0.0,11,0.0
price,9.0,30,0.3
ProductModel,4.0,10,0.4
telephone,0.0,3,0.0
Date,7.0,26,0.2692307692307692
Movie/name,1.0,32,0.03125
Book/name,20.0,32,0.625
RestrictedDiet,7.0,11,0.6363636363636364
PostalAddress,0.0,1,0.0
Distance,7.0,25,0.28
unitCode,9.0,13,0.6923076923076923
streetAddress,1.0,1,1.0
DateTime,1.0,3,0.3333333333333333
Rating,0.0,20,0.0
Recipe/description,8.0,12,0.6666666666666666
category,8.0,23,0.34782608695652173
ItemAvailability,5.0,28,0.17857142857142858
BookFormatType,16.0,23,0.6956521739130435
Brand,1.0,11,0.09090909090909091
Photograph,5.0,18,0.2777777777777778
Number,15.0,20,0.75
weight,16.0,40,0.4
IdentifierAT,10.0,17,0.5882352941176471
Person/name,9.0,15,0.6
postalCode,0.0,1,0.0
QuantitativeValue,8.0,11,0.7272727272727273
Book/description,9.0,11,0.8181818181818182
Recipe/name,2.0,10,0.2
Language,4.0,24,0.16666666666666666
Energy,7.0,14,0.5
addressLocality,0.0,2,0.0
ItemList,6.0,10,0.6
priceRange,0.0,10,0.0
Boolean,1.0,8,0.125
unitText,5.0,10,0.5
URL,4.0,21,0.19047619047619047
OfferItemCondition,6.0,21,0.2857142857142857
DayOfWeek,0.0,6,0.0
Country,3.0,4,0.75
Review,9.0,25,0.36
Product/description,4.0,17,0.23529411764705882
Restaurant/name,1.0,21,0.047619047619047616
paymentAccepted,1.0,3,0.3333333333333333
Duration,17.0,41,0.4146341463414634
currency,8.0,31,0.25806451612903225
Mass,14.0,29,0.4827586206896552
Product/name,6.0,38,0.15789473684210525
DeliveryMethod,0.0,10,0.0
Time,8.0,16,0.5
openingHours,1.0,5,0.2
