label,nr_errors,total,perc. errors
Book/description,0.0,11,0.0
Photograph,3.0,18,0.16666666666666666
unitText,5.0,10,0.5
OfferItemCondition,18.0,21,0.8571428571428571
paymentAccepted,0.0,3,0.0
Time,8.0,16,0.5
Boolean,0.0,8,0.0
addressLocality,0.0,2,0.0
Book/name,4.0,32,0.125
IdentifierAT,3.0,17,0.17647058823529413
telephone,0.0,3,0.0
Number,19.0,20,0.95
DayOfWeek,0.0,6,0.0
RestrictedDiet,5.0,11,0.45454545454545453
Review,7.0,25,0.28
unitCode,12.0,13,0.9230769230769231
Person/name,5.0,15,0.3333333333333333
category,12.0,23,0.5217391304347826
currency,0.0,31,0.0
streetAddress,1.0,1,1.0
Recipe/description,0.0,12,0.0
Movie/name,1.0,32,0.03125
Date,2.0,26,0.07692307692307693
openingHours,1.0,5,0.2
Product/name,3.0,38,0.07894736842105263
Mass,25.0,29,0.8620689655172413
Language,4.0,24,0.16666666666666666
Recipe/name,0.0,10,0.0
Rating,3.0,20,0.15
Movie/description,0.0,11,0.0
Energy,12.0,14,0.8571428571428571
weight,21.0,40,0.525
Country,1.0,4,0.25
ItemAvailability,14.0,28,0.5
PostalAddress,0.0,1,0.0
DateTime,0.0,3,0.0
ItemList,10.0,10,1.0
QuantitativeValue,9.0,11,0.8181818181818182
URL,2.0,21,0.09523809523809523
Distance,25.0,25,1.0
Brand,4.0,11,0.36363636363636365
price,4.0,30,0.13333333333333333
postalCode,0.0,1,0.0
Duration,6.0,41,0.14634146341463414
priceRange,2.0,10,0.2
Product/description,0.0,17,0.0
ProductModel,10.0,10,1.0
BookFormatType,7.0,23,0.30434782608695654
Restaurant/name,1.0,21,0.047619047619047616
DeliveryMethod,3.0,10,0.3
