label,nr_errors,total,perc. errors
DeliveryMethod,8.0,10,0.8
DateTime,2.0,3,0.6666666666666666
PostalAddress,0.0,1,0.0
Review,16.0,25,0.64
Book/description,2.0,11,0.18181818181818182
postalCode,1.0,1,1.0
Distance,25.0,25,1.0
Date,6.0,26,0.23076923076923078
paymentAccepted,0.0,3,0.0
DayOfWeek,2.0,6,0.3333333333333333
ItemList,10.0,10,1.0
Rating,7.0,20,0.35
Recipe/description,4.0,12,0.3333333333333333
unitText,8.0,10,0.8
Movie/description,5.0,11,0.45454545454545453
ProductModel,10.0,10,1.0
Duration,14.0,41,0.34146341463414637
Country,2.0,4,0.5
Person/name,6.0,15,0.4
Product/description,5.0,17,0.29411764705882354
unitCode,13.0,13,1.0
Energy,14.0,14,1.0
priceRange,1.0,10,0.1
Brand,5.0,11,0.45454545454545453
category,17.0,23,0.7391304347826086
weight,23.0,40,0.575
IdentifierAT,10.0,17,0.5882352941176471
Number,20.0,20,1.0
Restaurant/name,2.0,21,0.09523809523809523
Recipe/name,2.0,10,0.2
price,7.0,30,0.23333333333333334
Movie/name,7.0,32,0.21875
Photograph,6.0,18,0.3333333333333333
QuantitativeValue,9.0,11,0.8181818181818182
openingHours,2.0,5,0.4
BookFormatType,14.0,23,0.6086956521739131
Book/name,5.0,32,0.15625
streetAddress,0.0,1,0.0
Time,11.0,16,0.6875
telephone,0.0,3,0.0
Product/name,8.0,38,0.21052631578947367
addressLocality,0.0,2,0.0
Language,11.0,24,0.4583333333333333
URL,7.0,21,0.3333333333333333
Mass,29.0,29,1.0
Boolean,2.0,8,0.25
ItemAvailability,22.0,28,0.7857142857142857
currency,11.0,31,0.3548387096774194
OfferItemCondition,18.0,21,0.8571428571428571
RestrictedDiet,7.0,11,0.6363636363636364
